Bajads;En gavtyv eller en klovn. Kan også betyde spilopmager, spasmager eller gavstrik.;7
Badut;At springe badut eller gøre vilde manøvrer.;7
Badutspringer;En person der gør vilde spring. Nedsættende om en person, der hopper og springer for andre uden selv at have noget at skulle have sagt.;7
Baryl;Varyl eller baryler.;7
Besyv;At give sit besyv med i diskussionen.;7
Blusel;Skamfølelse. At gøre noget uden blusel. Kan også betyde menneskets ydre kønsorganer.;7
Bollemælk;Ikke at stikke op for bollemælk er ikke at give op for ingenting.;7
Bonkammerat;En særlig god kammerat og fortrolig.;7
Bovlam;Uden kraft og originalitet.;7
Charlatan;En person som bedrager andre ved at foregive at han er eller kan noget specielt.;7
Chancerytter;;7
Djærv;At udtrykke sig på en direkte måde.;7
Dovenlars;En doven person.;7
Døgenigt;En doven og uansvarlig person. En uansvarlig dovenlars :o);7
Dølgsmål;I dølgsmål er at gøre noget i det skjulte.;7
Emsig;Ivrigt foretagsom og nysgerrig på en irriterende måde. Kan også betyde geskæftig, nævenyttig eller entreprenant.;7
Festivitas;At noget er festligt.;7
Fidusmager;;7
Fiffig;Snu.;7
Filur;Lurifaks.;7
Finurlig;Snedig, fiffig eller udspekuleret.;7
Flottenhejmer;En ødsel person der har dyre vaner. Kan også betyde en ødeland.;7
Fusentast;;7
Galpe;At gø eller sige noget på en højrøstet måde.;7
Gavstrik;Gavtyv. Kan også betyde spilopmager, spasmager eller bajads.;7
Gavtyv;En person som laver sjov og harmløse narrestreger. Kan også betyde spilopmager, spasmager, gavstrik eller bajads.;7
Gebommerlig;I meget høj grad. Kan også betyde overordentlig, kolossal eller vældig.;7
Gedigen;Ægte. Kan også betyde ren, lødig eller massiv.;7
Gedulgt;Hemmelig.;7
Gelassen;Overdrevent villig og hjælpsom.;7
Gelejde;Ledsage.;7
Gelinde;Udtryk for at noget foregår roligt og forsigtigt.;7
Gentil;En som opfører sig høfligt og nobelt og er imødekommende over for andre. kan også betyde elskværdig, imødekommende eller generøs.;7
Geråde;At komme i en ubehagelig situation eller stemning.;7
Geskæftig;Ivrigt og foretagsomt at organisere ting og blande sig i stort og småt. Kan også betyde emsig, nævenyttig eller entreprenant.;7
Gevalt;Advarende.;7
Gisne;Gætte.;7
Gæk;At drive gæk med nogen er at gøre nogen til nar eller lave sjov med dem.;7
Hillemænd;Et udtryk for mild bestyrtelse.;7
Husgeråd;Et redskab til madlavning.;7
Huskekage;En lussing.;7
Ingenlunde;Langtfra.;7
Kanalje;En person som er uopdragen og fræk. Kan også betyde slubbert, gavtyv eller skurk.;7
Kindhest;En lussing.;7
Klynkevorn;Hvis en person er tilbøjelig til at klynke.;7
Knibsk;Afvisende på en koket eller snerpet måde.;7
Kradsbørstig;Sur og ubehagelig i betydningen barsk, skrap eller kras.;7
Kæk;At handle uden bekymringer og med godt humør.;7
Kæltring;En person der snyder og generer andre. Kan også betyde en slyngel eller svindler.;7
Kålhøgen;Indbildsk.;7
Laban;En person der opfører sig frækt, især på en udspekuleret eller bevidst provokerende måde.;7
Landstryger;Vagabond.;7
Lurendrejer;Snu og upålidelig person der snyder andre.;7
Lurifaks;Filur.;7
Luskepeter;En lumsk og upålidelig person.;7
Moro;Morskab.;7
Nole;Stjæle.;7
Nuvel;Udtryk for at man accepterer noget.;7
Nævenyttig;Ivrigt og foretagsomt at organisere ting og blande sig i stort og småt. Kan også betyde emsig, geskægtig eller entreprenant.;7
Obsternasig;Meget og særdeles bevidst genstridig.;7
Olm;Rasende.;7
Opulent;Virker imponerende stor og overdådig.;7
Pernitten;Pedantisk.;7
Røffel;Et uformelt udtryk for utilfredshed med nogen fordi de har gjort noget forkert. Kan også betyde en overhaling eller opsang.;7
Sanddru;Ærlig og pålidelig.;7
Sjover;En gemen og hensynsløs person. Kan også betyde en slyngel.;7
Sjuft;Sjover.;7
Skarnsknægt;En dreng der laver ballade.;7
Skrømt;På skrømt er udtryk for at noget ser sådan ud, men ikke er tilfældet i virkeligheden.;7
